,Date_reported,Country,y_cases,y_deaths,Cumulative_cases,Cumulative_deaths,Total_Existed,total_tests,School_closing,Workplace_closing,public_events,Stay_at_home,travel_controls,Travel_Ban_Condition,Restaurant_Restriction
164,2020-06-15,Australia,225.0,2.0,7320.0,102.0,491.0,15796,0,1,1,0,4,1,0
165,2020-06-16,Australia,293.0,2.0,7335.0,102.0,509.0,20198,0,1,1,0,4,1,0
166,2020-06-17,Australia,342.0,2.0,7347.0,102.0,514.0,27770,0,1,1,0,4,1,0
167,2020-06-18,Australia,399.0,1.0,7370.0,102.0,531.0,51380,0,1,1,0,4,1,0
168,2020-06-19,Australia,443.0,0.0,7391.0,102.0,530.0,42708,0,1,1,0,4,1,0
169,2020-06-20,Australia,660.0,0.0,7409.0,102.0,565.0,35173,0,1,1,0,4,1,0
170,2020-06-21,Australia,721.0,0.0,7436.0,102.0,571.0,35946,0,1,1,0,4,1,0
171,2020-06-22,Australia,763.0,0.0,7461.0,102.0,577.0,66525,0,1,1,0,4,1,0
172,2020-06-23,Australia,819.0,2.0,7474.0,102.0,597.0,24972,2,1,1,0,4,1,0
173,2020-06-24,Australia,921.0,2.0,7492.0,102.0,627.0,47603,2,1,1,0,4,1,0
174,2020-06-25,Australia,966.0,2.0,7521.0,103.0,637.0,51917,2,1,1,0,4,1,0
175,2020-06-26,Australia,1058.0,2.0,7558.0,104.0,641.0,49498,2,1,1,0,4,1,0
176,2020-06-27,Australia,1104.0,2.0,7595.0,104.0,693.0,54222,2,1,1,0,4,1,0
177,2020-06-28,Australia,1191.0,3.0,7641.0,104.0,757.0,43114,2,1,1,0,4,1,0
178,2020-06-29,Australia,1348.0,4.0,7686.0,104.0,797.0,36520,2,1,1,0,4,1,0
179,2020-06-30,Australia,1394.0,2.0,7767.0,104.0,880.0,40287,2,1,1,0,4,1,0
180,2020-07-01,Australia,1496.0,2.0,7834.0,104.0,911.0,49941,3,2,2,2,4,1,0
181,2020-07-02,Australia,1609.0,5.0,7920.0,104.0,936.0,57859,3,2,2,2,4,1,0
182,2020-07-03,Australia,1751.0,7.0,8001.0,104.0,941.0,54078,3,2,2,2,4,1,0
183,2020-07-04,Australia,1876.0,10.0,8255.0,104.0,1044.0,50176,3,2,2,2,4,1,0
184,2020-07-05,Australia,1888.0,11.0,8362.0,104.0,1163.0,45399,3,2,2,2,4,1,0
185,2020-07-06,Australia,2005.0,14.0,8449.0,104.0,1300.0,45730,3,2,2,2,4,1,0
186,2020-07-07,Australia,2089.0,15.0,8586.0,106.0,1399.0,41942,3,2,2,2,4,1,0
187,2020-07-08,Australia,2177.0,18.0,8755.0,106.0,1483.0,55299,3,2,2,3,4,1,0
188,2020-07-09,Australia,2401.0,17.0,8886.0,106.0,1798.0,54425,3,2,2,3,4,1,0
189,2020-07-10,Australia,2496.0,20.0,9059.0,106.0,1820.0,59437,3,2,2,3,4,1,0
190,2020-07-11,Australia,2360.0,23.0,9359.0,106.0,2070.0,51225,3,2,2,3,4,1,0
191,2020-07-12,Australia,2509.0,27.0,9553.0,107.0,2211.0,53995,3,2,2,3,4,1,0
192,2020-07-13,Australia,2601.0,33.0,9797.0,108.0,2416.0,42300,2,2,2,3,4,1,0
193,2020-07-14,Australia,2866.0,38.0,9980.0,108.0,2559.0,44449,2,2,2,3,4,1,0
194,2020-07-15,Australia,2876.0,41.0,10251.0,108.0,2775.0,59904,2,2,2,3,4,1,0
195,2020-07-16,Australia,2686.0,48.0,10495.0,111.0,3119.0,65575,2,2,2,2,4,1,0
196,2020-07-17,Australia,2997.0,56.0,10810.0,113.0,3279.0,62728,2,2,2,2,4,1,0
197,2020-07-18,Australia,3310.0,57.0,11235.0,116.0,3528.0,63387,2,2,2,2,4,1,0
198,2020-07-19,Australia,3332.0,55.0,11441.0,118.0,3674.0,62632,2,2,2,2,4,1,0
199,2020-07-20,Australia,3520.0,53.0,11802.0,122.0,4030.0,57962,2,2,2,2,4,1,0
200,2020-07-21,Australia,3383.0,60.0,12069.0,123.0,4349.0,56310,2,2,2,2,4,1,0
201,2020-07-22,Australia,3425.0,65.0,12428.0,126.0,4532.0,59794,2,2,2,2,4,1,0
202,2020-07-23,Australia,3862.0,71.0,12896.0,128.0,4820.0,69308,2,2,2,2,4,1,0
203,2020-07-24,Australia,3559.0,66.0,13306.0,133.0,5012.0,75584,2,2,2,2,4,1,0
204,2020-07-25,Australia,3367.0,70.0,13595.0,139.0,5384.0,64084,2,2,2,2,4,1,0
205,2020-07-26,Australia,3416.0,78.0,13950.0,145.0,5761.0,75619,2,2,2,2,4,1,0
206,2020-07-27,Australia,3161.0,87.0,14403.0,155.0,5992.0,51966,2,2,2,2,4,1,0
207,2020-07-28,Australia,3079.0,92.0,14935.0,161.0,5965.0,55580,2,2,2,2,4,1,0
208,2020-07-29,Australia,2984.0,99.0,15304.0,167.0,6679.0,55579,2,2,2,2,4,1,0
209,2020-07-30,Australia,2683.0,105.0,15582.0,176.0,7144.0,66205,2,2,2,2,4,1,0
210,2020-07-31,Australia,2496.0,106.0,16303.0,189.0,7297.0,71385,2,2,2,2,4,1,0
211,2020-08-01,Australia,2471.0,109.0,16905.0,196.0,7691.0,71385,2,2,2,2,4,1,0
212,2020-08-02,Australia,2337.0,101.0,17282.0,200.0,7696.0,39158,2,3,2,3,4,1,0
213,2020-08-03,Australia,2204.0,101.0,17923.0,208.0,8107.0,40529,3,3,2,3,4,1,0
214,2020-08-04,Australia,2162.0,108.0,18318.0,221.0,8646.0,94706,3,3,2,3,4,1,0
215,2020-08-05,Australia,2060.0,107.0,18729.0,232.0,8949.0,70464,3,3,2,3,4,1,0
216,2020-08-06,Australia,1866.0,98.0,19444.0,247.0,9153.0,80008,3,3,2,3,4,1,0
217,2020-08-07,Australia,1878.0,102.0,19862.0,255.0,9138.0,91937,3,3,2,3,4,1,0
218,2020-08-08,Australia,1664.0,97.0,20272.0,266.0,9210.0,40197,3,3,2,3,4,1,0
219,2020-08-09,Australia,1567.0,106.0,20698.0,278.0,9521.0,93191,3,3,2,3,4,1,0
220,2020-08-10,Australia,1524.0,106.0,21084.0,295.0,9569.0,61132,3,3,2,3,4,1,0
221,2020-08-11,Australia,1357.0,96.0,21397.0,313.0,9732.0,61626,3,3,2,3,4,1,0
222,2020-08-12,Australia,1280.0,87.0,21713.0,331.0,9579.0,61172,3,3,2,3,4,1,0
223,2020-08-13,Australia,1212.0,99.0,22127.0,352.0,9741.0,68441,3,3,2,3,4,1,0
224,2020-08-14,Australia,1086.0,109.0,22358.0,361.0,9403.0,70629,3,3,2,3,4,1,0
225,2020-08-15,Australia,1041.0,111.0,22743.0,375.0,9654.0,63370,3,3,2,3,4,1,0
226,2020-08-16,Australia,945.0,115.0,23035.0,379.0,9475.0,53774,3,3,2,3,4,1,0
227,2020-08-17,Australia,858.0,109.0,23288.0,396.0,9237.0,38539,3,3,2,3,4,1,0
228,2020-08-18,Australia,830.0,135.0,23559.0,421.0,9062.0,44516,3,3,2,3,4,1,0
229,2020-08-19,Australia,766.0,132.0,23773.0,438.0,8989.0,59882,3,3,2,3,4,1,0
230,2020-08-20,Australia,718.0,114.0,23993.0,450.0,6555.0,68336,3,3,2,3,4,1,0
231,2020-08-21,Australia,727.0,106.0,24236.0,463.0,6144.0,65919,3,3,2,3,4,1,0
232,2020-08-22,Australia,688.0,154.0,24407.0,472.0,6053.0,65918,3,3,2,3,4,1,0
233,2020-08-23,Australia,660.0,148.0,24602.0,485.0,5684.0,65919,3,3,2,3,4,1,0
234,2020-08-24,Australia,609.0,142.0,24812.0,502.0,5452.0,51447,3,3,2,3,4,1,0
235,2020-08-25,Australia,576.0,110.0,24916.0,517.0,5106.0,56675,3,3,2,3,4,1,0
236,2020-08-26,Australia,555.0,113.0,25053.0,525.0,5223.0,71703,3,3,2,3,4,1,0
237,2020-08-27,Australia,542.0,118.0,25205.0,549.0,5083.0,86268,3,3,2,3,4,1,0
238,2020-08-28,Australia,464.0,110.0,25322.0,572.0,4916.0,65183,3,3,2,2,4,1,0
